,mean,std,percentile_99.5,percentile_0.5,all_zeros,cv,kurtosis,skewness
clauses_per_sentence,2.967294603094777,1.0515489845780013,6.791570881226048,0.9137820512820513,False,0.3543797044894953,18.600969276572904,2.099403894750831
modifiers_per_noun_phrase,0.9788689914141772,0.17080353558371913,1.3837231624147512,0.48005922055897093,False,0.17449070006493758,0.5123624575351431,-0.20269824415084092
coordinated_phrases_per_sentence,1.0495855551706332,0.5233555504128163,3.183436532507737,0.2558735837805605,False,0.49863067172997955,173.177881299908,6.712577741858188
coordinate_phrases_ratio,0.5570099173867569,0.10507235730383971,0.8306493506493505,0.2383733055265901,False,0.18863642104756867,0.7115265213253332,-0.18242518908999836
sentence_length_variation,16.692784881278058,8.324455289865686,56.58739455432191,6.8280759009935705,False,0.4986858303794505,155.8328627180326,7.724204074931538
clause_length_variation,10.06022296457928,3.234313959524511,23.600064015730606,5.463059660674352,False,0.32149525620973857,72.95371246105962,5.6788359125813495
dependent_clauses_ratio,4.974707665076332,1.6931378024105255,11.466702586206889,1.5638127853881278,False,0.34034920570243116,5.188066869856087,1.370879477930784
subordination_index,0.5441994687617474,0.09927429573489814,0.7686026389790177,0.17238256932654208,False,0.18242262522009334,1.8813633086247323,-0.7569326475729112
average_sentence_depth,4.9996015243421805,0.7846802937049875,7.496428571428559,2.92010889292196,False,0.1569485667776756,2.265518879145924,0.5780337951972386
compute_average_dependency_distance,3.778269011516053,1.3868449461669092,6.028028054969479,2.9923084938200635,False,0.36705828566993154,1898.1081934511546,38.88030746631597
frazier_depth,4.9996015243421805,0.7846802937049875,7.496428571428559,2.92010889292196,False,0.1569485667776756,2.265518879145924,0.5780337951972386
branching_factor_for_text,2.530670657099314,0.16025838057558564,2.886792806300344,2.010794826882818,False,0.06332644673695936,59.15108750846524,2.2608950116821545
compute_hierarchical_structure_complexity,2.9750752120835866,0.48110248206726147,4.708877333302222,2.0335497999898733,False,0.16171103174575627,92.96346823194914,4.670925212386152
compute_yngve_depth,12.840629846708296,2.6145583686471903,23.450244438101542,7.010314530733994,False,0.20361605309551337,14.557180274572264,1.8778424000907699
long_word_rate,0.22262961043772653,0.04563484516904431,0.347623927165232,0.11498228639391232,False,0.20498102242248314,0.12197747419111549,0.2847839293614003
short_word_rate,0.48330050434816024,0.036354985697265224,0.5976257450483725,0.38914840295106284,False,0.07522232104081522,1.0265956209620546,0.11314131646916113
lexical_density,0.41668128734263016,0.052969176515896124,0.5390197836647084,0.23363713278102147,False,0.1271215629905176,2.0723981074165714,-0.5201640597328483
calculate_embedded_clause_ratio,0.693002758368298,0.13788124944194952,0.9728978978978977,0.17878657487091215,False,0.1989620499730712,1.7260579510718204,-0.8818497222723166
ratio_of_stressed_syllables,0.27398671479293496,0.011414690752215066,0.30703454130086766,0.24615573039244842,False,0.04166147530489462,6.776162301985279,0.7479580683148469
